CGPA,GPA,Average Assignment Marks,Average Project Marks,Attendance Percentage,Class Participation Credits,Extracurricular Activities,Achievements Credits,No. of Students in Class,Rank in Class,Certifications Count,Performance
6.09,7.45,67,79,93,65,0,87,73,48,5,93.69
8.75,8.75,52,47,66,62,1,14,34,9,11,76.9
9.47,7.46,11,29,92,56,0,67,68,64,16,90.88
6.24,7.83,31,34,73,24,0,60,57,2,16,76.85
6.95,5.04,34,26,65,2,1,78,67,37,4,65.84
6.67,6.96,14,52,91,37,0,23,61,53,12,62.42
5.26,9.68,71,32,63,21,0,51,54,53,13,72.07
9.49,6.42,53,19,50,97,1,80,44,33,17,99.0
5.17,6.8,47,65,71,91,1,92,90,71,5,95.34
6.81,6.27,61,73,79,39,1,26,70,48,11,67.51
6.28,7.85,92,75,50,70,0,9,66,3,1,67.65
7.75,9.38,90,47,66,29,1,60,83,40,6,83.15
7.3,9.2,75,67,94,48,1,65,73,60,0,85.26
5.02,7.08,59,96,93,12,1,9,38,35,16,56.18
5.1,6.92,93,29,75,76,1,96,100,9,13,99.0
5.51,8.82,51,59,69,99,0,64,74,5,16,99.0
5.04,6.93,89,14,87,69,1,8,52,23,20,69.36
6.51,6.37,86,74,95,14,0,15,34,17,14,60.94
8.99,8.43,25,74,92,69,1,44,48,37,2,83.83
6.36,5.78,10,99,94,60,0,91,83,37,4,88.81
8.75,6.68,90,56,68,66,0,81,65,12,14,99.0
5.06,9.7,81,98,71,49,1,23,69,1,1,70.47
9.43,5.55,71,98,87,97,1,36,67,33,5,90.06
9.37,7.29,37,48,84,54,1,64,50,49,14,90.76
9.44,8.33,30,80,97,44,0,74,72,23,5,92.58
9.0,5.48,33,87,68,14,0,82,32,14,14,85.52
5.71,8.47,94,82,56,49,1,40,95,62,13,79.75
6.18,7.97,55,73,73,68,0,98,75,27,5,98.44
5.8,9.24,95,16,58,48,1,77,77,68,10,87.86
7.88,9.71,12,10,62,24,0,43,38,11,17,75.13
7.88,9.5,85,100,95,40,0,36,38,32,0,77.31
6.79,7.36,88,19,90,1,0,71,67,26,18,79.14
8.08,9.4,31,53,60,24,0,7,67,66,12,61.55
8.65,8.84,56,89,51,78,1,0,70,46,11,77.16
9.24,6.96,67,71,59,16,1,62,67,35,9,80.84
7.13,7.57,26,31,97,17,0,3,61,48,12,52.62
5.98,5.55,27,62,80,17,0,4,74,58,5,43.72
8.53,8.66,51,77,93,62,1,81,52,33,6,99.0
9.45,7.49,78,41,78,21,0,58,96,43,1,76.89
6.15,9.42,43,84,51,93,0,6,42,3,0,71.77
6.09,5.18,11,22,57,27,1,51,64,10,0,57.3
7.54,8.79,32,43,92,19,1,23,36,6,20,71.39
7.45,6.13,33,18,97,30,0,30,69,43,4,58.91
7.2,6.39,27,80,81,27,1,64,90,25,15,80.91
7.34,6.33,18,14,69,3,0,57,41,25,18,67.5
8.77,8.53,36,72,84,53,0,32,53,5,4,78.04
8.56,8.72,44,23,69,71,0,66,43,22,15,96.03
7.38,7.68,62,89,78,87,1,41,50,3,8,89.96
7.36,7.33,40,51,55,12,1,25,95,7,2,56.92
6.55,5.74,11,40,51,10,1,24,44,14,13,53.52
5.01,9.53,16,20,78,71,0,9,57,5,9,64.83
5.28,8.13,84,32,58,35,0,10,97,38,14,60.73
7.92,7.82,20,80,84,0,1,49,56,34,4,66.22
8.46,8.5,98,79,86,85,0,31,63,23,14,94.17
6.0,8.31,72,20,66,63,0,22,91,46,12,71.25
8.6,5.17,38,74,50,67,0,15,30,16,2,64.89
7.29,9.53,16,32,55,55,1,4,94,8,19,70.74
8.95,7.18,29,22,54,2,0,47,58,24,16,69.46
6.3,8.29,51,80,67,1,0,48,83,37,20,73.28
5.06,9.23,98,70,82,98,1,87,61,56,2,99.0
5.46,8.18,95,82,70,53,1,30,33,27,13,76.13
6.12,7.34,20,60,57,74,1,43,60,3,19,84.32
6.44,8.23,70,92,64,29,0,56,57,18,4,76.61
8.83,7.45,50,74,85,51,0,35,58,23,6,77.98
9.48,8.54,17,100,88,90,1,97,31,27,9,99.0
5.1,5.1,67,26,97,94,1,2,72,22,1,59.37
7.26,6.96,37,54,78,97,0,84,77,5,18,99.0
6.38,7.8,36,70,67,94,1,16,66,63,16,79.11
5.93,5.73,99,82,71,2,0,83,96,37,15,80.82
5.03,9.44,25,98,84,54,1,34,79,50,14,77.28
7.83,5.56,21,100,95,21,1,49,78,61,7,69.63
5.18,6.35,94,88,83,83,0,74,38,22,8,92.94
5.34,9.14,68,52,58,26,0,7,81,48,11,57.68
6.74,8.61,31,98,65,43,1,81,69,24,0,86.5
5.34,9.11,28,25,67,21,0,4,81,32,17,55.09
5.09,5.01,15,99,93,97,1,59,37,28,1,80.15
8.01,7.25,74,94,82,62,0,39,57,15,11,85.65
7.61,8.07,10,67,95,41,0,91,88,51,8,91.56
8.06,8.27,86,56,63,34,1,41,60,2,7,78.18
6.3,6.39,39,25,75,86,1,67,78,27,16,91.47
8.79,5.43,48,46,55,93,1,82,69,42,3,95.95
6.75,6.94,93,71,59,59,0,82,34,6,13,96.7
7.06,7.41,86,48,51,72,1,36,54,16,16,84.79
6.86,8.68,56,30,66,53,1,85,34,12,0,87.96
7.65,8.41,64,40,69,70,1,34,57,34,17,85.46
6.79,9.21,82,44,82,32,0,1,67,38,13,63.21
6.7,5.27,37,35,78,6,1,6,64,47,17,49.09
8.62,5.38,47,45,100,73,0,56,58,23,7,85.17
5.95,9.54,48,26,55,50,1,35,99,47,13,74.6
8.16,7.96,32,39,64,31,0,100,84,21,2,89.42
5.26,5.91,70,19,84,80,0,50,72,57,19,82.35
8.88,9.57,40,14,54,89,0,29,34,17,13,87.22
5.76,5.61,62,39,53,73,0,76,38,6,18,91.3
8.53,8.59,88,37,55,25,1,96,74,66,20,99.0
5.98,7.95,67,23,51,61,1,19,73,32,1,62.84
9.45,8.98,98,85,55,81,0,26,47,6,8,91.31
5.73,5.06,33,18,56,5,1,0,51,17,5,36.11
8.83,8.19,16,33,64,92,1,83,84,74,4,98.83
7.37,7.07,12,36,98,11,1,6,33,5,10,52.46
5.03,8.49,31,51,93,66,1,24,65,38,7,68.62
8.57,8.78,18,11,57,32,0,13,39,23,9,61.24
6.04,6.72,42,56,80,86,1,91,68,16,14,99.0
7.96,7.92,67,24,79,33,1,79,56,8,5,86.31
5.09,8.28,71,38,88,66,1,26,63,56,4,68.16
9.05,7.58,82,11,71,85,0,44,79,77,13,89.96
6.92,7.21,68,90,61,45,0,71,77,26,13,89.55
9.4,5.03,98,90,66,95,0,81,93,15,16,99.0
9.33,6.5,62,41,97,69,1,6,63,40,0,67.02
7.31,8.14,84,24,87,4,0,13,34,13,10,57.6
6.04,6.61,18,21,63,13,0,64,83,81,6,62.37
8.34,5.68,32,77,74,86,1,64,83,57,5,89.87
9.34,8.38,65,15,99,75,0,66,90,61,3,93.14
6.38,5.57,98,73,70,12,0,67,34,13,16,78.22
6.33,6.08,99,63,75,61,1,41,73,25,6,76.55
9.4,8.44,29,72,76,69,0,88,62,37,6,99.0
9.03,6.56,83,73,77,84,1,1,65,36,0,71.27
9.0,5.46,16,24,73,0,1,33,77,7,8,57.68
5.86,6.59,76,11,94,71,1,49,73,62,18,82.71
7.22,8.91,24,32,93,97,1,52,46,40,18,95.94
6.93,5.29,20,68,64,78,0,94,68,58,12,95.44
7.6,5.56,51,97,53,73,0,89,62,32,6,95.79
5.89,8.85,92,73,72,83,0,42,69,35,18,92.49
7.72,6.99,83,85,58,73,1,57,58,47,3,87.17
8.04,5.31,79,30,82,43,0,7,59,30,5,57.87
9.21,9.09,79,72,100,72,0,98,73,66,8,99.0
7.6,6.39,79,63,91,100,0,58,31,18,9,95.59
7.26,7.06,74,64,61,68,1,54,53,36,16,89.6
5.76,5.13,32,88,75,54,0,98,96,77,9,88.85
9.21,8.03,71,15,60,23,1,90,30,3,17,96.76
7.58,5.83,27,42,91,40,0,18,69,54,5,57.89
5.57,5.13,43,87,61,90,0,7,92,4,7,65.95
7.09,9.13,74,82,62,21,1,79,31,11,14,91.75
7.79,8.93,70,77,66,62,1,40,79,78,10,84.79
9.19,9.36,46,66,88,66,1,64,61,11,20,99.0
9.27,9.64,12,41,66,22,1,14,44,12,4,63.19
6.46,8.63,100,39,53,31,1,64,59,31,1,77.14
6.93,9.04,100,33,94,68,0,77,73,67,20,99.0
5.58,8.02,91,82,74,57,0,84,83,54,17,98.31
7.31,9.29,41,60,94,74,0,100,54,14,9,99.0
5.62,9.22,40,39,72,61,0,73,32,9,7,87.0
8.32,9.62,62,30,93,3,0,38,53,6,14,73.81
5.06,7.08,49,66,56,46,0,9,79,7,18,63.35
8.34,6.87,43,79,63,94,0,70,40,40,16,99.0
7.05,8.55,29,68,62,41,0,26,77,1,14,73.0
5.65,9.28,22,85,77,65,1,35,54,42,3,73.67
7.44,9.28,66,67,96,49,1,79,53,16,16,99.0
6.96,8.22,49,46,90,37,1,15,94,55,5,62.15
9.43,5.1,24,13,97,45,1,8,74,30,12,62.21
8.56,6.9,100,84,91,16,0,64,78,58,17,87.35
5.79,6.35,15,83,67,12,1,93,71,66,19,83.3
8.99,7.61,39,79,63,54,1,17,45,41,9,72.56
6.89,5.74,41,50,78,96,1,98,31,31,6,99.0
5.59,9.58,21,13,76,81,0,39,54,40,9,77.43
7.5,9.33,34,16,80,70,0,68,78,3,12,94.06
6.2,7.7,56,55,74,31,1,39,86,45,0,64.16
9.34,8.75,20,42,72,96,1,57,34,5,5,96.7
6.52,7.1,65,71,55,69,0,21,38,35,17,75.34
9.24,7.26,95,83,65,42,1,92,76,22,9,99.0
8.64,9.08,26,56,50,6,1,76,82,4,17,87.82
8.03,6.34,35,19,98,74,0,64,92,87,17,90.16
8.67,5.98,85,94,56,68,1,17,62,49,4,73.29
5.52,6.06,33,47,91,98,1,20,32,18,10,72.88
6.07,6.12,74,54,94,13,0,20,33,18,7,54.71
6.83,7.26,95,45,91,91,0,12,62,10,6,76.26
6.41,5.35,91,97,72,81,1,64,83,80,6,88.25
7.29,5.25,72,74,62,99,1,22,53,13,19,85.69
8.39,8.2,30,49,95,9,1,69,84,2,19,86.43
6.12,5.68,75,82,80,87,0,35,77,68,3,75.6
7.57,5.17,36,74,81,64,1,12,41,12,0,61.76
5.47,7.51,80,23,79,40,0,60,55,20,10,76.76
6.9,5.13,98,64,72,32,0,66,82,39,7,77.36
6.11,8.71,63,54,82,29,1,36,99,36,5,68.33
5.69,6.9,28,52,88,14,0,85,48,39,15,78.96
7.63,8.0,64,22,67,69,1,87,93,32,15,99.0
8.1,8.76,88,33,75,88,1,25,34,33,19,89.9
8.09,6.24,21,24,71,35,1,29,53,6,12,66.57
6.81,7.15,34,36,61,64,1,3,47,4,9,62.79
8.07,8.52,43,78,76,9,1,84,87,51,10,87.12
8.19,6.79,49,19,92,67,0,47,59,40,20,86.81
7.07,8.48,45,81,69,69,1,27,60,20,9,79.2
9.09,5.74,44,66,78,22,1,57,44,16,7,75.92
5.52,9.12,90,47,90,45,1,65,42,29,18,89.89
5.64,6.02,14,36,93,23,1,13,83,55,8,48.96
8.74,6.88,29,20,75,4,0,70,80,28,6,72.31
8.83,7.21,86,71,76,27,1,52,53,30,10,81.83
5.74,7.0,62,72,61,38,1,90,31,20,17,91.61
6.14,8.01,54,53,71,27,1,90,78,9,17,91.98
7.91,9.51,62,50,88,66,1,0,78,58,13,73.87
8.17,6.89,59,39,91,43,0,9,42,37,14,65.64
5.2,5.48,51,40,93,89,1,17,61,33,10,68.54
8.8,5.47,93,54,65,14,1,95,45,31,2,84.51
7.61,8.07,65,96,57,11,0,47,39,6,11,75.55
9.2,5.99,94,70,74,70,1,18,57,28,1,74.32
7.29,5.23,91,21,74,66,0,32,46,32,8,71.43
7.29,7.49,61,26,82,92,0,41,98,8,8,85.85
6.06,9.66,21,85,51,85,1,81,100,12,14,99.0
5.3,9.14,74,10,85,11,0,76,56,28,1,71.8
7.83,8.23,71,19,80,89,0,31,73,51,20,89.44
7.67,5.25,70,75,89,52,1,60,33,17,9,83.32
7.51,5.69,24,41,52,61,1,29,99,79,1,62.99
7.38,8.19,94,21,81,10,0,17,92,83,12,60.66
8.0,9.09,74,89,78,12,1,98,95,83,0,90.32
8.75,8.22,45,79,54,65,0,0,60,57,10,69.78
8.52,6.33,60,94,56,24,1,17,67,10,5,63.54
8.53,6.65,42,14,74,2,0,96,80,62,7,79.9
7.81,6.8,38,14,79,92,0,67,36,31,0,85.93
7.46,6.21,90,67,56,73,1,15,58,56,19,77.68
8.98,7.68,68,84,71,36,0,15,45,18,14,73.78
9.11,5.39,78,21,88,77,0,91,88,88,10,99.0
7.29,8.34,44,39,79,23,1,12,31,23,2,55.38
8.87,6.0,97,18,78,25,1,26,53,25,8,66.21
7.24,5.58,65,96,60,34,1,68,32,25,20,86.69
5.44,5.35,64,23,70,30,0,56,100,87,2,61.24
5.63,9.1,70,65,64,76,1,6,74,65,19,75.61
8.28,5.66,28,86,73,35,1,37,41,4,6,70.11
7.35,6.08,24,10,75,67,1,87,39,24,20,95.36
8.15,8.11,28,35,77,37,0,76,69,34,14,88.59
6.83,7.1,80,31,100,75,1,17,92,35,20,79.95
9.42,7.03,79,42,88,83,0,16,59,46,16,84.05
8.46,9.58,30,100,71,50,1,4,78,57,17,75.66
6.45,9.17,61,69,66,69,1,50,54,16,10,88.05
7.47,8.22,58,97,93,59,0,18,83,74,15,78.11
5.74,8.82,41,52,84,97,1,95,81,1,9,99.0
9.21,6.77,19,94,62,72,1,38,83,18,11,85.95
8.37,9.6,40,63,88,96,1,85,35,23,9,99.0
7.54,5.49,58,23,95,67,1,71,79,53,1,82.15
8.76,9.76,12,71,93,73,0,22,86,53,9,81.82
7.49,9.64,72,16,99,31,0,68,41,30,5,82.58
7.41,5.82,86,91,85,85,1,47,93,39,16,93.41
9.06,7.99,77,71,66,6,0,21,45,37,2,61.1
8.73,5.96,43,16,78,23,0,51,90,47,7,69.2
5.65,5.56,81,85,63,35,0,52,37,26,5,69.1
6.89,5.01,79,47,71,85,0,77,42,16,16,96.79
7.94,7.12,23,42,50,5,0,62,63,55,13,70.77
8.13,6.6,46,21,59,32,1,97,45,1,13,92.64
7.04,8.73,28,40,71,42,0,56,97,4,1,75.36
7.57,6.49,98,22,94,73,0,47,80,3,8,84.81
6.34,9.15,88,98,84,31,1,92,43,9,14,99.0
8.65,7.04,12,11,63,17,0,65,65,40,9,72.54
8.56,7.44,87,98,85,62,1,0,36,2,10,75.33
7.21,5.41,31,70,66,52,0,91,39,38,19,93.44
5.91,5.3,48,27,94,21,0,83,76,68,16,77.53
6.49,9.64,85,25,83,44,0,12,76,22,9,67.7
9.15,5.85,90,57,96,88,0,47,41,19,7,91.2
7.12,5.56,21,21,51,100,1,92,45,31,6,95.22
9.21,7.0,97,23,72,82,0,83,33,33,2,97.98
6.29,7.85,27,10,88,71,0,46,65,60,18,80.89
5.75,5.29,46,82,98,55,1,77,50,34,0,79.25
6.57,9.77,23,26,89,6,1,36,38,35,10,62.92
7.06,8.49,99,64,54,31,1,33,64,25,9,73.76
6.82,7.53,94,81,57,86,1,53,37,31,15,94.82
7.15,9.71,31,37,54,43,0,76,64,20,8,87.42
7.27,8.2,45,31,80,7,1,93,46,16,1,80.05
7.7,8.49,28,92,73,34,0,79,96,29,10,90.54
6.3,8.07,58,50,62,99,0,11,39,32,9,74.76
8.4,8.32,29,35,86,18,1,25,84,21,9,65.71
6.11,5.53,47,34,77,100,0,6,99,82,14,69.22
9.5,7.36,48,64,81,12,1,60,44,22,3,76.44
9.06,9.43,72,43,81,36,1,13,50,40,10,71.91
7.96,5.58,47,90,70,52,0,41,30,11,13,78.74
8.53,5.27,53,90,71,13,1,84,52,3,7,83.79
5.55,7.11,92,28,77,72,0,52,78,50,5,78.64
6.2,9.58,84,62,60,57,1,11,97,16,10,72.66
6.39,7.73,40,24,61,21,0,16,73,59,14,56.85
8.19,7.87,22,13,68,36,1,24,96,68,11,65.55
5.22,7.68,93,62,87,75,0,83,98,73,5,93.17
7.59,8.09,45,32,51,88,1,80,44,30,5,96.02
8.71,6.03,31,78,64,42,1,55,79,8,17,85.43
8.82,6.77,74,53,67,5,0,27,49,49,14,64.77
8.51,8.08,51,10,92,92,1,95,33,4,8,99.0
7.59,6.02,96,92,55,58,1,33,100,10,3,75.9
9.3,6.9,14,50,77,27,0,24,51,46,0,59.2
8.54,5.92,66,86,54,91,1,69,45,26,17,99.0
5.73,5.64,88,46,70,67,0,30,50,6,7,70.32
5.91,8.02,85,57,52,92,0,5,47,7,8,73.05
8.67,9.08,56,25,95,20,1,96,60,37,16,97.98
7.35,9.75,72,88,52,79,0,40,82,69,7,88.02
6.71,8.05,44,88,60,45,1,64,85,73,14,86.12
5.14,8.11,65,16,62,86,0,52,61,37,9,82.2
7.5,8.97,52,32,61,7,1,14,95,13,6,57.22
8.27,9.32,52,96,88,93,1,53,80,63,13,99.0
5.59,8.29,17,22,50,99,1,1,51,17,2,62.86
7.83,6.72,29,33,71,88,1,35,61,19,12,82.56
5.6,5.26,19,63,79,60,1,29,32,15,13,66.98
7.2,5.43,57,61,79,22,1,6,65,6,3,51.65
6.15,6.46,23,34,95,35,1,44,48,25,1,62.09
5.54,6.65,94,13,91,95,0,90,86,17,1,95.52
8.32,6.32,80,44,84,9,0,9,31,12,5,54.39
9.17,9.44,40,64,76,93,1,25,91,63,2,85.33
8.72,5.02,56,82,62,85,0,2,48,26,6,69.06
5.27,7.78,42,87,73,55,1,29,79,74,10,69.92
7.47,9.24,39,70,84,55,0,10,66,4,5,69.66
9.39,5.86,48,37,72,0,0,93,84,47,15,85.76
8.82,6.92,23,14,65,30,1,46,93,58,7,69.57
6.68,9.42,72,28,69,54,1,20,57,54,6,68.87
6.99,8.16,76,31,85,73,1,25,95,76,8,76.13
8.21,8.04,80,29,62,48,0,50,45,6,12,84.41
8.13,5.72,71,51,76,70,1,34,53,22,8,78.23
6.18,8.09,13,13,71,34,1,29,55,18,0,56.83
6.8,5.92,24,85,64,40,1,27,91,4,17,70.25
9.3,7.5,61,41,94,74,0,41,100,51,6,85.55
7.77,6.19,98,30,97,59,0,88,69,42,6,93.81
6.28,7.76,80,56,50,66,0,30,86,85,9,73.71
9.16,5.68,85,59,76,80,1,84,30,12,6,99.0
5.39,5.07,16,46,100,8,0,4,71,29,4,38.58
5.11,8.75,79,70,89,31,1,15,43,26,7,61.84
5.29,7.07,11,42,80,68,0,49,92,36,4,71.67
7.25,6.62,95,29,55,41,1,20,99,92,0,59.25
5.05,5.84,94,77,88,34,1,75,96,32,8,80.68
7.78,7.61,91,79,76,86,1,30,44,27,5,84.62
5.5,7.83,49,26,96,48,1,6,68,57,9,57.71
7.72,6.08,87,75,78,22,1,22,45,31,19,70.04
9.45,6.13,73,32,90,16,1,91,73,66,8,87.39
6.74,8.42,64,30,83,99,1,52,45,33,16,95.68
6.37,9.29,35,41,97,87,1,59,81,31,5,90.28
7.69,9.54,14,90,68,83,1,34,72,35,15,90.15
9.33,7.98,33,48,71,16,1,65,92,62,1,75.97
6.53,9.74,16,33,56,2,1,55,86,51,14,70.39
5.18,8.17,63,53,86,45,1,89,37,31,20,94.84
5.54,5.41,17,64,61,65,1,23,72,63,4,59.33
5.8,9.18,52,29,60,57,1,24,55,27,11,70.82
5.21,7.51,39,20,79,72,1,73,83,55,5,82.59
5.79,6.49,47,18,59,27,1,98,43,1,5,81.25
6.18,7.23,43,70,72,32,1,80,61,52,5,79.91
9.48,7.96,98,21,80,60,0,84,35,5,4,99.0
8.45,8.3,69,80,96,64,1,43,83,24,11,90.5
6.85,8.81,49,34,77,99,1,60,35,24,19,99.0
8.64,8.48,96,52,75,9,0,86,71,43,1,85.29
8.58,5.69,67,76,56,16,1,87,41,23,12,87.35
6.6,5.34,60,12,89,45,0,81,44,40,14,82.9
5.97,7.04,71,11,64,30,1,90,52,17,20,89.5
9.36,7.53,38,87,70,46,0,3,54,41,10,67.53
9.35,5.58,75,26,99,84,1,10,39,13,17,80.54
6.32,9.55,18,66,79,33,1,16,32,14,19,69.65
5.25,6.01,31,60,71,51,1,73,72,64,4,75.19
8.11,7.76,39,90,70,75,0,93,66,42,4,99.0
7.84,7.51,52,82,97,50,1,61,78,50,10,87.91
8.62,6.08,57,69,56,21,0,28,40,35,14,67.02
7.05,9.13,87,94,82,87,1,84,35,35,18,99.0
7.08,8.4,37,30,85,1,1,48,97,67,0,60.6
8.88,7.18,68,41,54,30,0,70,44,11,6,83.07
8.34,8.14,20,23,58,24,0,28,59,35,1,59.3
5.0,7.02,39,94,70,96,1,61,90,82,2,84.92
6.6,6.04,67,25,72,16,0,50,77,44,8,64.47
8.91,6.45,52,44,59,70,1,84,100,74,10,97.19
7.8,8.33,65,47,93,61,1,38,77,9,5,81.02
8.31,5.54,36,21,99,35,1,2,70,23,19,61.29
5.98,6.95,53,86,64,13,1,54,66,24,0,64.97
9.06,5.22,99,37,73,96,1,57,56,30,8,94.52
5.15,7.36,29,87,68,28,0,0,51,44,6,48.25
8.6,5.88,12,13,75,0,0,59,33,20,14,67.22
5.99,8.93,34,20,69,84,1,68,82,27,6,89.25
8.41,8.92,29,67,62,90,1,81,95,86,5,99.0
8.18,5.85,73,81,52,81,0,23,38,28,3,74.36
7.65,6.1,95,20,93,16,1,32,80,2,15,69.07
8.89,6.4,57,35,65,11,0,42,54,42,2,62.54
5.56,6.67,92,53,94,92,0,20,67,44,10,76.36
8.63,9.58,10,70,58,88,0,96,79,24,14,99.0
8.26,9.75,26,44,65,19,1,89,79,59,19,94.99
5.76,6.73,51,52,58,95,1,55,46,17,2,82.86
6.1,8.1,61,18,58,5,0,35,76,51,5,55.99
5.35,6.47,16,74,93,11,1,21,66,66,20,57.46
5.72,7.78,52,12,67,17,1,70,53,46,12,73.05
7.91,5.39,74,54,65,27,0,11,54,22,4,55.56
5.03,7.05,13,27,99,69,1,39,86,54,9,70.23
9.45,7.03,85,72,93,54,1,13,73,15,11,77.94
9.18,7.02,32,60,63,72,1,68,64,8,17,99.0
7.91,7.75,76,94,58,69,1,46,100,49,11,89.73
7.76,6.34,46,34,93,29,0,69,36,17,16,82.58
6.59,9.58,50,54,60,80,1,81,75,19,15,99.0
6.39,8.8,75,26,82,31,1,8,79,53,4,57.26
5.02,8.32,92,29,84,68,1,18,95,19,0,66.04
9.08,9.2,69,91,96,99,1,79,64,41,7,99.0
8.17,6.78,49,96,56,9,0,47,62,50,11,70.94
7.69,5.76,24,12,94,3,0,61,31,11,8,65.03
9.49,8.92,98,94,70,82,1,43,40,3,12,99.0
5.62,7.51,79,45,64,52,1,10,79,21,6,61.71
9.19,6.04,50,78,96,44,0,97,40,34,5,95.25
5.65,9.63,66,98,99,72,0,76,37,26,3,94.97
6.56,7.34,13,17,73,34,0,42,72,12,9,66.11
5.84,9.07,95,61,94,52,0,63,56,12,17,93.21
9.37,5.55,33,38,62,72,0,94,61,29,11,99.0
6.86,6.44,33,12,89,70,0,62,68,52,13,83.14
6.43,6.91,38,97,80,79,1,21,87,42,4,72.64
5.9,6.1,66,56,60,59,0,88,75,53,18,93.61
5.78,5.49,14,29,98,87,1,50,40,7,2,74.79
9.1,6.93,43,11,85,4,0,23,31,7,3,55.98
8.31,9.02,79,39,99,1,0,66,36,9,15,84.2
5.32,8.52,30,41,60,93,0,45,49,27,17,86.54
5.18,7.72,38,37,75,70,1,3,93,21,6,60.24
8.21,5.47,38,17,79,84,1,51,32,13,9,83.62
7.75,9.42,87,50,54,23,0,26,62,18,8,70.3
9.38,9.05,63,48,69,35,0,35,100,69,15,81.31
6.38,7.68,83,92,52,63,1,76,44,23,2,90.06
5.37,7.79,25,21,84,11,0,38,57,36,7,56.15
8.41,8.83,100,32,74,96,0,52,34,9,1,94.45
6.25,9.54,66,60,93,87,0,62,84,3,0,92.36
7.66,7.43,79,61,67,21,0,4,63,54,1,53.03
